episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/train,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-101.33964626871236,-125.64550395528546,-109.75189014949474,678.4,5,2,4000,4000,4000,False,5,1,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-16,1671816496,6.840594530105591,6.840594530105591,158805,dl,192.168.0.98,6.840594530105591,4000,1,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994]","[1600, 59, 1600, 70, 63]",0.0724974779532231,0.5338038997850318,0.09046051277034822,0.3263741359300818,0.0,4116.047,971.806,37.441,106834.03,4715.529,848.261,1.815,4000,4000,4000,4000,4000,29.380000000000003,21.509999999999998,,0.20000000298023224,4.999999873689376e-05,274.51016,-0.022245074,274.52927,-0.02156623,0.015669683,5.645052,0.0
-101.2622276331869,-125.64550395528546,-110.29294449331815,422.2352941176471,12,2,8000,4000,8000,False,17,2,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-22,1671816502,6.242352485656738,13.082947015762329,158805,dl,192.168.0.98,13.082947015762329,8000,2,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54]",0.07364177257176586,0.5242658765980911,0.0894252714002733,0.32318917101454814,0.0,5455.039,733.267,19.198,208353.092,4466.811,895.494,1.75,8000,8000,8000,4000,8000,32.577777777777776,21.6,,0.20000000298023224,4.999999873689376e-05,691.46136,-0.02663472,691.4846,-0.30080783,0.016907565,5.692353,0.0
-101.01919514975386,-125.64550395528546,-109.73047982333135,523.35,3,2,12000,4000,12000,False,20,3,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-29,1671816509,6.263489246368408,19.346436262130737,158805,dl,192.168.0.98,19.346436262130737,12000,3,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89]",0.07349957901066767,0.5231103885023252,0.08936064062892823,0.3230784737365422,0.0,5725.19,698.667,13.13,304648.863,4389.671,911.23,1.677,12000,12000,12000,4000,12000,32.43333333333333,21.6,,0.20000000298023224,4.999999873689376e-05,75.778175,-0.023571318,75.79963,-0.41361797,0.010567907,5.704279,0.0
-101.01919514975386,-125.64550395528546,-110.43834433051995,461.96774193548384,11,2,16000,4000,16000,False,31,4,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-35,1671816515,6.289258718490601,25.635694980621338,158805,dl,192.168.0.98,25.635694980621338,16000,4,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52]",0.07386015457512038,0.5199934854972303,0.0892411051921174,0.32220420649519876,0.0,5864.844,682.03,10.112,395558.448,4350.668,919.399,1.716,16000,16000,16000,4000,16000,32.51111111111111,21.6,,0.20000000298023224,4.999999873689376e-05,578.833,-0.036100145,578.86505,-0.63385206,0.020429697,5.6979866,0.0
-101.01919514975386,-125.64550395528546,-110.4887255121062,517.3823529411765,3,2,20000,4000,20000,False,34,5,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-41,1671816521,6.197033166885376,31.832728147506714,158805,dl,192.168.0.98,31.832728147506714,20000,5,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600]",0.0736530346807649,0.5193510861946445,0.08912204058915457,0.3219144495873468,0.0,5940.381,673.357,8.337,479779.459,4326.572,924.519,1.694,20000,20000,20000,4000,20000,32.37777777777778,21.6,,0.20000000298023224,4.999999873689376e-05,52.932526,-0.028560482,52.958977,-0.5739487,0.010549559,5.5380616,0.0
-101.01919514975386,-125.64550395528546,-110.57435748232952,590.3421052631579,4,2,24000,4000,24000,False,38,6,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-48,1671816528,6.252205848693848,38.08493399620056,158805,dl,192.168.0.98,38.08493399620056,24000,6,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367, -119.40623748497794, -113.02069548541681, -104.56938170202456, -108.21260224449138]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600, 1600, 1600, 1600, 42]",0.07345690774279406,0.5185501535671819,0.089017247665187,0.3216648901140061,0.0,5997.014,666.999,7.144,559881.286,4309.405,928.202,1.674,24000,24000,24000,4000,24000,32.57777777777778,21.6,,0.20000000298023224,4.999999873689376e-05,52.365265,-0.023390917,52.386753,-0.23677678,0.009493828,5.5306525,0.0
-101.01919514975386,-125.64550395528546,-110.24733988385232,664.219512195122,3,2,28000,4000,28000,False,41,7,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-28-54,1671816534,6.234943628311157,44.31987762451172,158805,dl,192.168.0.98,44.31987762451172,28000,7,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367, -119.40623748497794, -113.02069548541681, -104.56938170202456, -108.21260224449138, -106.30855090496341, -105.24642422306842, -106.76037578139214]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600, 1600, 1600, 1600, 42, 1600, 1600, 1600]",0.07333446919846495,0.5179146032059067,0.08895392845838458,0.3214482347879195,0.0,6031.042,663.235,6.281,636813.517,4299.875,930.26,1.699,28000,28000,28000,4000,28000,32.97777777777778,21.6,,0.20000000298023224,4.999999873689376e-05,3.1882625,0.002136416,3.1842713,-0.044881895,0.009272604,5.5022235,0.0
-101.01330546350157,-125.64550395528546,-109.8995033452653,707.7441860465116,2,2,32000,4000,32000,False,43,8,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-29-00,1671816540,6.216787099838257,50.536664724349976,158805,dl,192.168.0.98,50.536664724349976,32000,8,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367, -119.40623748497794, -113.02069548541681, -104.56938170202456, -108.21260224449138, -106.30855090496341, -105.24642422306842, -106.76037578139214, -104.52440314496116, -101.01330546350157]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600, 1600, 1600, 1600, 42, 1600, 1600, 1600, 1600, 1600]",0.07321396964809958,0.5175277319301486,0.08890070574703186,0.3213108999764229,0.0,6058.299,660.251,5.637,709534.782,4291.251,932.129,1.687,32000,32000,32000,4000,32000,32.733333333333334,21.6,,0.20000000298023224,4.999999873689376e-05,2.357014,-0.019915057,2.3745842,0.04875467,0.011723184,5.5057263,0.0
-98.12393183841229,-125.64550395528546,-109.57519787152438,747.4,2,2,36000,4000,36000,False,45,9,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-29-06,1671816546,6.203400611877441,56.74006533622742,158805,dl,192.168.0.98,56.74006533622742,36000,9,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367, -119.40623748497794, -113.02069548541681, -104.56938170202456, -108.21260224449138, -106.30855090496341, -105.24642422306842, -106.76037578139214, -104.52440314496116, -101.01330546350157, -98.12393183841229, -107.08132853377683]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600, 1600, 1600, 1600, 42, 1600, 1600, 1600, 1600, 1600, 1600, 1600]",0.07308672671383011,0.5171561724371055,0.08885254438494537,0.3211999656478133,0.0,6080.554,657.835,5.11,782734.395,4280.577,934.453,1.693,36000,36000,36000,4000,36000,32.3,21.6,,0.20000000298023224,4.999999873689376e-05,1.1338803,-0.02336365,1.1541514,-0.009230678,0.015462151,5.391676,0.0
-98.12393183841229,-125.64550395528546,-109.10391027058873,785.5510204081633,4,2,40000,4000,40000,False,49,10,25b72_00000,80c501b76ccb4ec99d8dc8072c7f6825,2022-12-23_17-29-13,1671816553,6.255048990249634,62.99511432647705,158805,dl,192.168.0.98,62.99511432647705,40000,10,"[-106.1556709796623, -101.33964626871236, -125.64550395528546, -101.86857474728363, -113.75005479652994, -101.2622276331869, -117.06320764109243, -104.03569549160575, -109.98157851030429, -109.23405927052286, -111.75315879893675, -104.82216916189752, -121.5363249999266, -113.3972833234314, -104.9610155327494, -115.06511249000641, -113.10877278527431, -101.37523068771456, -117.23511424274994, -101.01919514975386, -115.06704141644866, -109.16864946204858, -115.65740642975517, -113.38441167097787, -107.0372009359623, -107.82890035049866, -102.04153892117986, -116.95169868045174, -115.24206906814067, -116.6698086445046, -109.93035219952402, -112.61983636262997, -112.70278461822494, -107.7053721846367, -119.40623748497794, -113.02069548541681, -104.56938170202456, -108.21260224449138, -106.30855090496341, -105.24642422306842, -106.76037578139214, -104.52440314496116, -101.01330546350157, -98.12393183841229, -107.08132853377683, -98.51429794000586, -109.43466379978632, -105.93285874312602, -101.32587855733169]","[1600, 59, 1600, 70, 63, 1600, 58, 52, 56, 49, 56, 1600, 88, 47, 63, 63, 54, 1600, 1600, 89, 1600, 50, 1600, 63, 75, 85, 98, 80, 50, 101, 52, 1600, 70, 1600, 1600, 1600, 1600, 42, 1600, 1600, 1600, 1600, 1600, 1600, 1600, 1600, 59, 1600, 1600]",0.07282608420462833,0.5165789155588874,0.08874286703533454,0.3210586245819444,0.0,6096.201,656.146,4.702,850681.013,4275.779,935.502,1.698,40000,40000,40000,4000,40000,32.977777777777774,21.6,,0.20000000298023224,4.999999873689376e-05,65.93119,-0.02177985,65.950874,-0.217634,0.0104729105,5.346788,0.0
